npanxx	state	rate_center	ocn	line_class
201200	NJ	JERSEYCITY	9206	L
201201	NJ	JERSEYCITY	624H	V
201202	NJ	HACKENSACK	6630	L
201203	NJ	HACKENSACK	325E	V
201204	NJ	JERSEYCITY	829J	L
201205	NJ	JERSEYCITY	5562	W
201206	NJ	HACKENSACK	5562	W
201207	NJ	NEWARK	6391	W
201208	NJ	JERSEYCITY	4036	W
201209	NJ	JERSEYCITY	9206	L
201210	NJ	UNION CITY	7421	L
201211	NJ	XXXXXXXXXX	MULT	L
201212	NJ	HACKENSACK	6623	W
201213	NJ	MORRISTOWN	6391	W
201214	NJ	HACKENSACK	4036	W
201215	NJ	BAYONNE	829J	L
201216	NJ	JERSEYCITY	9206	L
201217	NJ	JERSEYCITY	9206	L
201218	NJ	HACKENSACK	4036	W
201219	NJ	JERSEYCITY	6630	L
201220	NJ	HACKENSACK	4036	W
201221	NJ	HACKENSACK	7142	V
201222	NJ	JERSEYCITY	9206	L
201223	NJ	UNION CITY	9206	L
201224	NJ	CLIFFSIDE	9206	L
201225	NJ	ORADELL	9206	L
201226	NJ	HACKENSACK	9206	L
201227	NJ	ENGLEWOOD	9206	L
201228	NJ	LEONIA	7421	L
201229	NJ	HACKENSACK	9206	L
201230	NJ	SUCCASUNNA	6391	W
201231	NJ	RUTHERFORD	7421	L
201232	NJ	JERSEYCITY	6391	W
201233	NJ	CLIFFSIDE	6623	W
201234	NJ	JERSEYCITY	7421	L
201235	NJ	HACKENSACK	6734	L
201236	NJ	RAMSEY	9206	L
201237	NJ	RUTHERFORD	9748	L
201238	NJ	JERSEYCITY	6623	W
201239	NJ	JERSEYCITY	9206	L
201240	NJ	JERSEYCITY	6391	W
201241	NJ	JERSEYCITY	6391	W
201242	NJ	LEONIA	9206	L
201243	NJ	BAYONNE	9206	L
201244	NJ	DUMONT	9206	L
201245	NJ	HACKENSACK	4036	W
201246	NJ	KEARNY	9206	L
201247	NJ	CALDWELL	6391	W
201248	NJ	RAMSEY	6391	W
201249	NJ	FAIR LAWN	6391	W
201250	NJ	HACKENSACK	6391	W
201251	NJ	RIDGEWOOD	9206	L
201252	NJ	CRAGMERE	637C	V
201253	NJ	JERSEYCITY	4036	W
201254	NJ	FAIR LAWN	4804	V
201255	NJ	UNION CITY	4804	V
201256	NJ	CLOSTER	7421	L
201257	NJ	HASBROKHTS	6623	W
201258	NJ	RAMSEY	7421	L
201259	NJ	NEWARK	6391	W
201260	NJ	XXXXXXXXXX	9206	L
201261	NJ	ORADELL	9206	L
201262	NJ	ORADELL	9206	L
201263	NJ	WESTWOOD	9206	L
201264	NJ	RAMSEY	6391	W
201265	NJ	ORADELL	9206	L
201266	NJ	ENGLEWOOD	7421	L
201267	NJ	ORADELL	7229	L
201268	NJ	JERSEYCITY	4036	W
201269	NJ	WYCKOFF	9206	L
201270	NJ	HACKENSACK	7142	V
201271	NJ	UNION CITY	9206	L
201272	NJ	UNION CITY	7229	L
201273	NJ	JERSEYCITY	6391	W
201274	NJ	MORRISTOWN	6391	W
201275	NJ	JERSEYCITY	6623	W
201276	NJ	HACKENSACK	6919	L
201277	NJ	HACKENSACK	637C	V
201278	NJ	DUMONT	6919	L
201279	NJ	KEARNY	5562	W
201280	NJ	FAIR LAWN	6391	W
201281	NJ	HACKENSACK	6623	W
201282	NJ	CLIFFSIDE	793K	L
201283	NJ	KEARNY	4804	V
201284	NJ	JERSEYCITY	9206	L
201285	NJ	BAYONNE	829J	L
201286	NJ	HACKENSACK	4036	W
201287	NJ	TEANECK	9206	L
201288	NJ	HASBROKHTS	9206	L
201289	NJ	HACKENSACK	4036	W
201290	NJ	HACKENSACK	4036	W
201291	NJ	HACKENSACK	9206	L
201292	NJ	LEONIA	7134	L
201293	NJ	UNION CITY	4804	V
201294	NJ	HACKENSACK	4036	W
201295	NJ	UNION CITY	9206	L
201296	NJ	HACKENSACK	9206	L
201297	NJ	CLOSTER	7229	L
201298	NJ	HASBROKHTS	829J	L
201299	NJ	KEARNY	7229	L
201300	NJ	FAIR LAWN	7229	L
201301	NJ	RIDGEWOOD	7229	L
201302	NJ	LEONIA	9206	L
201303	NJ	NEWARK	4036	W
201304	NJ	TEANECK	5562	W
201305	NJ	UNION CITY	7142	V
201306	NJ	NEWARK	6391	W
201307	NJ	PARK RIDGE	9206	L
201308	NJ	ENGLEWOOD	7142	V
201309	NJ	JERSEYCITY	9206	L
201310	NJ	HACKENSACK	4036	W
201311	NJ	XXXXXXXXXX	MULT	L
201312	NJ	RAMSEY	4036	W
201313	NJ	CLIFFSIDE	9206	L
201314	NJ	HACKENSACK	4036	W
201315	NJ	HACKENSACK	4036	W
201316	NJ	RAMSEY	7142	V
201317	NJ	SUCCASUNNA	6391	W
201318	NJ	JERSEYCITY	7142	V
201319	NJ	UNION CITY	9206	L
201320	NJ	JERSEYCITY	6391	W
201321	NJ	FAIR LAWN	6391	W
201322	NJ	ORADELL	7229	L
201323	NJ	MORRISTOWN	4036	W
201324	NJ	JERSEYCITY	9206	L
201325	NJ	UNION CITY	9206	L
201326	NJ	PARK RIDGE	7229	L
201327	NJ	RAMSEY	9206	L
201328	NJ	CLIFFSIDE	7229	L
201329	NJ	HACKENSACK	9206	L
201330	NJ	UNION CITY	9206	L
201331	NJ	CRAGMERE	7229	L
201332	NJ	JERSEYCITY	9206	L
201333	NJ	JERSEYCITY	9206	L
201334	NJ	HACKENSACK	4804	V
201335	NJ	CRAGMERE	7142	V
201336	NJ	HACKENSACK	9206	L
201337	NJ	OAKLAND	9206	L
201338	NJ	DUMONT	7142	V
201339	NJ	BAYONNE	9206	L
201340	NJ	RUTHERFORD	4804	V
201341	NJ	NEWARK	6391	W
201342	NJ	HACKENSACK	9206	L
201343	NJ	HACKENSACK	9206	L
201344	NJ	JERSEYCITY	5562	W
201345	NJ	RIDGEWOOD	7229	L
201346	NJ	LEONIA	9206	L
201347	NJ	TEANECK	7229	L
201348	NJ	UNION CITY	9206	L
201349	NJ	NEWARK	6623	W
201350	NJ	ORADELL	637C	V
201351	NJ	UNION CITY	118F	V
201352	NJ	UNION CITY	7229	L
201353	NJ	TEANECK	7229	L
201354	NJ	BAYONNE	6623	W
201355	NJ	RUTHERFORD	3639	L
201356	NJ	JERSEYCITY	7142	V
201357	NJ	TEANECK	118F	V
201358	NJ	WESTWOOD	9206	L
201359	NJ	HACKENSACK	4804	V
201360	NJ	JERSEYCITY	4804	V
201361	NJ	ORADELL	4804	V
201362	NJ	HACKENSACK	6623	W
201363	NJ	LEONIA	9206	L
201364	NJ	HACKENSACK	6391	W
201365	NJ	HASBROKHTS	3639	L
201366	NJ	CLIFFSIDE	793K	L
201367	NJ	CLOSTER	7229	L
201368	NJ	HACKENSACK	9206	L
201369	NJ	JERSEYCITY	9206	L
201370	NJ	HACKENSACK	6391	W
201371	NJ	TEANECK	7142	V
201372	NJ	RUTHERFORD	9206	L
201373	NJ	HACKENSACK	9206	L
201374	NJ	DUMONT	7229	L
201375	NJ	HASBROKHTS	7229	L
201376	NJ	HACKENSACK	5562	W
201377	NJ	JERSEYCITY	4804	V
201378	NJ	RAMSEY	4804	V
201379	NJ	TEANECK	4804	V
201380	NJ	KEARNY	264F	V
201381	NJ	UNION CITY	7142	V
201382	NJ	HACKENSACK	6630	L
201383	NJ	WESTWOOD	7229	L
201384	NJ	DUMONT	9206	L
201385	NJ	DUMONT	9206	L
201386	NJ	JERSEYCITY	9206	L
201387	NJ	DUMONT	9206	L
201388	NJ	JERSEYCITY	6391	W
201389	NJ	RIDGEWOOD	7142	V
201390	NJ	HACKENSACK	6391	W
201391	NJ	PARK RIDGE	9206	L
201392	NJ	UNION CITY	9206	L
201393	NJ	HASBROKHTS	9206	L
201394	NJ	HACKENSACK	6391	W
201395	NJ	JERSEYCITY	9206	L
201396	NJ	CALDWELL	6391	W
201397	NJ	HACKENSACK	4804	V
201398	NJ	FAIR LAWN	9206	L
201399	NJ	ENGLEWOOD	7229	L
201400	NJ	MORRISTOWN	6391	W
201401	NJ	JERSEYCITY	6391	W
201402	NJ	CLIFFSIDE	7229	L
201403	NJ	HACKENSACK	7134	L
201404	NJ	MORRISTOWN	4036	W
201405	NJ	OAKLAND	9206	L
201406	NJ	HACKENSACK	4036	W
201407	NJ	NEWARK	6391	W
201408	NJ	ENGLEWOOD	7229	L
201409	NJ	JERSEYCITY	637C	V
201410	NJ	FAIR LAWN	6391	W
201411	NJ	XXXXXXXXXX	MULT	L
201412	NJ	MORRISTOWN	4036	W
201413	NJ	JERSEYCITY	9206	L
201414	NJ	FAIR LAWN	7229	L
201415	NJ	MORRISTOWN	4036	W
201416	NJ	OAKLAND	7142	V
201417	NJ	HACKENSACK	4036	W
201418	NJ	JERSEYCITY	9206	L
201419	NJ	RAMSEY	4036	W
201420	NJ	JERSEYCITY	9206	L
201421	NJ	FAIR LAWN	7142	V
201422	NJ	UNION CITY	9206	L
201423	NJ	JERSEYCITY	6623	W
201424	NJ	JERSEYCITY	6391	W
201425	NJ	WYCKOFF	7229	L
201426	NJ	HASBROKHTS	7142	V
201427	NJ	JERSEYCITY	7229	L
201428	NJ	KEARNY	7229	L
201429	NJ	LEONIA	7229	L
201430	NJ	UNION CITY	7421	L
201431	NJ	ENGLEWOOD	118F	V
201432	NJ	JERSEYCITY	9206	L
201433	NJ	JERSEYCITY	9206	L
201434	NJ	JERSEYCITY	9206	L
201435	NJ	JERSEYCITY	9206	L
201436	NJ	BAYONNE	9206	L
201437	NJ	BAYONNE	9206	L
201438	NJ	RUTHERFORD	9206	L
201439	NJ	DUMONT	9206	L
201440	NJ	HACKENSACK	9206	L
201441	NJ	HACKENSACK	9206	L
201442	NJ	UNION CITY	7421	L
201443	NJ	BAYONNE	7142	V
201444	NJ	RIDGEWOOD	9206	L
201445	NJ	RIDGEWOOD	9206	L
201446	NJ	HACKENSACK	6391	W
201447	NJ	RIDGEWOOD	9206	L
201448	NJ	JERSEYCITY	6391	W
201449	NJ	HACKENSACK	6623	W
201450	NJ	HACKENSACK	4036	W
201451	NJ	JERSEYCITY	9206	L
201452	NJ	CALDWELL	6391	W
201453	NJ	UNION CITY	9206	L
201454	NJ	MORRISTOWN	4036	W
201455	NJ	BAYONNE	7142	V
201456	NJ	RUTHERFORD	6623	W
201457	NJ	HACKENSACK	9206	L
201458	NJ	FAIR LAWN	4804	V
201459	NJ	JERSEYCITY	9206	L
201460	NJ	RUTHERFORD	9206	L
201461	NJ	LEONIA	9206	L
201462	NJ	HASBROKHTS	9206	L
201463	NJ	NEWARK	6391	W
201464	NJ	HACKENSACK	264F	V
201465	NJ	OAKLAND	7229	L
201466	NJ	RAMSEY	4036	W
201467	NJ	KEARNY	7142	V
201468	NJ	FAIR LAWN	118F	V
201469	NJ	JERSEYCITY	7421	L
201470	NJ	HACKENSACK	6391	W
201471	NJ	BAYONNE	637C	V
201472	NJ	UNION CITY	3639	L
201473	NJ	HASBROKHTS	7229	L
201474	NJ	PARK RIDGE	7142	V
201475	NJ	FAIR LAWN	9206	L
201476	NJ	PARK RIDGE	9206	L
201477	NJ	ORADELL	7142	V
201478	NJ	HACKENSACK	4036	W
201479	NJ	JERSEYCITY	264F	V
201480	NJ	NEWARK	9206	L
201481	NJ	HACKENSACK	6623	W
201482	NJ	LEONIA	4804	V
201483	NJ	ORADELL	4948	L
201484	NJ	JERSEYCITY	3639	L
201485	NJ	WYCKOFF	7142	V
201486	NJ	MORRISTOWN	6623	W
201487	NJ	HACKENSACK	9206	L
201488	NJ	HACKENSACK	9206	L
201489	NJ	HACKENSACK	9206	L
201490	NJ	HACKENSACK	4804	V
201491	NJ	HACKENSACK	6623	W
201492	NJ	JERSEYCITY	829J	L
201493	NJ	RIDGEWOOD	9206	L
201494	NJ	HACKENSACK	6623	W
201495	NJ	HACKENSACK	6630	L
201496	NJ	CLIFFSIDE	6623	W
201497	NJ	WESTWOOD	7142	V
201498	NJ	HACKENSACK	9206	L
201499	NJ	JERSEYCITY	7229	L
201500	NJ	ENGLEWOOD	4804	V
201501	NJ	DUMONT	9206	L
201502	NJ	JERSEYCITY	637C	V
201503	NJ	ENGLEWOOD	9206	L
201504	NJ	RUTHERFORD	8407	L
201505	NJ	PARK RIDGE	9206	L
201506	NJ	MORRISTOWN	4036	W
201507	NJ	RUTHERFORD	9206	L
201508	NJ	RUTHERFORD	7142	V
201509	NJ	FAIR LAWN	612K	L
201510	NJ	ENGLEWOOD	829J	L
201511	NJ	XXXXXXXXXX	MULT	L
201512	NJ	CRAGMERE	9206	L
201513	NJ	MORRISTOWN	4036	W
201514	NJ	RUTHERFORD	4804	V
201515	NJ	BAYONNE	4804	V
201516	NJ	JERSEYCITY	4948	L
201517	NJ	JERSEYCITY	6630	L
201518	NJ	HACKENSACK	7229	L
201519	NJ	HACKENSACK	4036	W
201520	NJ	UNION CITY	7134	L
201521	NJ	JERSEYCITY	9206	L
201522	NJ	HACKENSACK	5562	W
201523	NJ	ORADELL	829J	L
201524	NJ	JERSEYCITY	9206	L
201525	NJ	HACKENSACK	9206	L
201526	NJ	JERSEYCITY	7229	L
201527	NJ	HACKENSACK	7421	L
201528	NJ	RUTHERFORD	7134	L
201529	NJ	CRAGMERE	9206	L
201530	NJ	TEANECK	9206	L
201531	NJ	RUTHERFORD	9206	L
201532	NJ	NEWARK	4036	W
201533	NJ	JERSEYCITY	9206	L
201534	NJ	FAIR LAWN	637C	V
201535	NJ	BAYONNE	7229	L
201536	NJ	JERSEYCITY	9206	L
201537	NJ	UNION CITY	7134	L
201538	NJ	HACKENSACK	5562	W
201539	NJ	JERSEYCITY	4036	W
201540	NJ	WYCKOFF	7229	L
201541	NJ	ENGLEWOOD	9206	L
201542	NJ	UNION CITY	7142	V
201543	NJ	HACKENSACK	7229	L
201544	NJ	JERSEYCITY	9206	L
201545	NJ	CLIFFSIDE	6630	L
201546	NJ	HACKENSACK	4036	W
201547	NJ	JERSEYCITY	9206	L
201548	NJ	LEONIA	7229	L
201549	NJ	RUTHERFORD	7229	L
201550	NJ	XXXXXXXXXX	9206	L
201551	NJ	JERSEYCITY	7142	V
201552	NJ	UNION CITY	612K	L
201553	NJ	UNION CITY	9206	L
201554	NJ	RUTHERFORD	637C	V
201555	NJ	DIR ASST	MULT	L
201556	NJ	HACKENSACK	9206	L
201557	NJ	JERSEYCITY	9206	L
201558	NJ	UNION CITY	9206	L
201559	NJ	RUTHERFORD	7229	L
201560	NJ	WYCKOFF	9206	L
201561	NJ	HACKENSACK	7229	L
201562	NJ	HACKENSACK	3639	L
201563	NJ	NEWARK	6391	W
201564	NJ	CLOSTER	829J	L
201565	NJ	JERSEYCITY	118F	V
201566	NJ	FAIR LAWN	4804	V
201567	NJ	ENGLEWOOD	9206	L
201568	NJ	ENGLEWOOD	9206	L
201569	NJ	ENGLEWOOD	9206	L
201570	NJ	HACKENSACK	6630	L
201571	NJ	PARK RIDGE	7229	L
201572	NJ	MORRISTOWN	6391	W
201573	NJ	PARK RIDGE	9206	L
201574	NJ	RAMSEY	7229	L
201575	NJ	HACKENSACK	4804	V
201576	NJ	ORADELL	9206	L
201577	NJ	JERSEYCITY	2771	V
201578	NJ	TEANECK	3639	L
201579	NJ	CRAGMERE	829J	L
201580	NJ	HACKENSACK	6391	W
201581	NJ	OAKLAND	264F	V
201582	NJ	LEONIA	7142	V
201583	NJ	UNION CITY	9206	L
201584	NJ	HACKENSACK	264F	V
201585	NJ	LEONIA	9206	L
201586	NJ	ENGLEWOOD	264F	V
201587	NJ	HACKENSACK	9206	L
201588	NJ	CLOSTER	7142	V
201589	NJ	JERSEYCITY	6623	W
201590	NJ	UNION CITY	7142	V
201591	NJ	TEANECK	7229	L
201592	NJ	LEONIA	9206	L
201593	NJ	JERSEYCITY	9206	L
201594	NJ	WESTWOOD	9206	L
201595	NJ	JERSEYCITY	9206	L
201596	NJ	HASBROKHTS	7229	L
201597	NJ	ORADELL	637C	V
201598	NJ	CLIFFSIDE	5562	W
201599	NJ	ORADELL	9206	L
201600	NJ	JERSEYCITY	6391	W
201601	NJ	UNION CITY	9206	L
201602	NJ	MORRISTOWN	6391	W
201603	NJ	BAYONNE	7229	L
201604	NJ	JERSEYCITY	7229	L
201605	NJ	UNION CITY	7134	L
201606	NJ	CLIFFSIDE	7229	L
201607	NJ	HACKENSACK	6630	L
201608	NJ	ENGLEWOOD	7229	L
201609	NJ	UNION CITY	624H	V
201610	NJ	JERSEYCITY	9206	L
201611	NJ	XXXXXXXXXX	MULT	L
201612	NJ	RIDGEWOOD	9206	L
201613	NJ	LEONIA	7229	L
201614	NJ	ORADELL	118F	V
201615	NJ	HACKENSACK	6391	W
201616	NJ	JERSEYCITY	9206	L
201617	NJ	UNION CITY	9206	L
201618	NJ	NEWARK	6391	W
201619	NJ	JERSEYCITY	624H	V
201620	NJ	BAYONNE	7229	L
201621	NJ	HACKENSACK	7229	L
201622	NJ	KEARNY	7229	L
201623	NJ	RUTHERFORD	7229	L
201624	NJ	UNION CITY	829J	L
201625	NJ	FAIR LAWN	7229	L
201626	NJ	JERSEYCITY	9206	L
201627	NJ	ENGLEWOOD	3639	L
201628	NJ	KEARNY	6623	W
201629	NJ	NEWARK	6830	L
201630	NJ	JERSEYCITY	6623	W
201631	NJ	JERSEYCITY	9206	L
201632	NJ	RIDGEWOOD	7229	L
201633	NJ	JERSEYCITY	4804	V
201634	NJ	ORADELL	9206	L
201635	NJ	RUTHERFORD	9206	L
201636	NJ	RUTHERFORD	829J	L
201637	NJ	HACKENSACK	4036	W
201638	NJ	HACKENSACK	6391	W
201639	NJ	RIDGEWOOD	829J	L
201640	NJ	JERSEYCITY	5562	W
201641	NJ	HACKENSACK	9206	L
201642	NJ	CRAGMERE	7229	L
201643	NJ	UNION CITY	7134	L
201644	NJ	OAKLAND	4948	L
201645	NJ	TEANECK	4804	V
201646	NJ	HACKENSACK	9206	L
201647	NJ	HACKENSACK	6623	W
201648	NJ	DUMONT	7229	L
201649	NJ	ORADELL	829J	L
201650	NJ	MORRISTOWN	4036	W
201651	NJ	OAKLAND	9206	L
201652	NJ	RIDGEWOOD	9206	L
201653	NJ	JERSEYCITY	9206	L
201654	NJ	CLIFFSIDE	7142	V
201655	NJ	HACKENSACK	829J	L
201656	NJ	JERSEYCITY	9206	L
201657	NJ	HACKENSACK	4036	W
201658	NJ	CLIFFSIDE	6623	W
201659	NJ	JERSEYCITY	9206	L
201660	NJ	CLOSTER	7142	V
201661	NJ	RAMSEY	829J	L
201662	NJ	UNION CITY	9206	L
201663	NJ	FAIR LAWN	4804	V
201664	NJ	WESTWOOD	9206	L
201665	NJ	HACKENSACK	4036	W
201666	NJ	WESTWOOD	9206	L
201667	NJ	KEARNY	5562	W
201668	NJ	JERSEYCITY	4036	W
201669	NJ	RAMSEY	4804	V
201670	NJ	RIDGEWOOD	9206	L
201671	NJ	JERSEYCITY	9206	L
201672	NJ	RUTHERFORD	9206	L
201673	NJ	CLIFFSIDE	4804	V
201674	NJ	HACKENSACK	4036	W
201675	NJ	RAMSEY	4036	W
201676	NJ	LEONIA	3639	L
201677	NJ	OAKLAND	9206	L
201678	NJ	HACKENSACK	9206	L
201679	NJ	HACKENSACK	6623	W
201680	NJ	JERSEYCITY	9206	L
201681	NJ	HACKENSACK	6623	W
201682	NJ	CLIFFSIDE	6623	W
201683	NJ	JERSEYCITY	4948	L
201684	NJ	CRAGMERE	9206	L
201685	NJ	JERSEYCITY	9206	L
201686	NJ	HACKENSACK	6623	W
201687	NJ	JERSEYCITY	5562	W
201688	NJ	BAYONNE	3639	L
201689	NJ	RIDGEWOOD	9206	L
201690	NJ	PARK RIDGE	4804	V
201691	NJ	RUTHERFORD	9206	L
201692	NJ	TEANECK	9206	L
201693	NJ	FAIR LAWN	829J	L
201694	NJ	HACKENSACK	6391	W
201695	NJ	HACKENSACK	9206	L
201696	NJ	HACKENSACK	4804	V
201697	NJ	HACKENSACK	5562	W
201698	NJ	NEWARK	6630	L
201699	NJ	CLIFFSIDE	3639	L
201700	NJ			L
201701	NJ	RIDGEWOOD	637C	V
201702	NJ	KEARNY	5562	W
201703	NJ	FAIR LAWN	9206	L
201704	NJ	CALDWELL	6391	W
201705	NJ	JERSEYCITY	829J	L
201706	NJ	JERSEYCITY	4036	W
201707	NJ	HACKENSACK	4036	W
201708	NJ	HACKENSACK	829J	L
201709	NJ	NEWARK	4036	W
201710	NJ	JERSEYCITY	612K	L
201711	NJ	XXXXXXXXXX	MULT	L
201712	NJ	HACKENSACK	9206	L
201713	NJ	UNION CITY	7229	L
201714	NJ	JERSEYCITY	9206	L
201715	NJ	MORRISTOWN	4036	W
201716	NJ	JERSEYCITY	829J	L
201717	NJ	XXXXXXXXXX	9206	L
201718	NJ	HACKENSACK	9748	L
201719	NJ	KEARNY	829J	L
201720	NJ	LEONIA	829J	L
201721	NJ	JERSEYCITY	318J	V
201722	NJ	WESTWOOD	9206	L
201723	NJ	HACKENSACK	4036	W
201724	NJ	CLIFFSIDE	6623	W
201725	NJ	JERSEYCITY	6391	W
201726	NJ	KEARNY	3639	L
201727	NJ	HASBROKHTS	9206	L
201728	NJ	RUTHERFORD	9206	L
201729	NJ	RUTHERFORD	9206	L
201730	NJ	PARK RIDGE	9206	L
201731	NJ	ENGLEWOOD	4804	V
201732	NJ	HACKENSACK	4948	L
201733	NJ	CRAGMERE	4804	V
201734	NJ	ORADELL	7229	L
201735	NJ	ENGLEWOOD	4804	V
201736	NJ	JERSEYCITY	6623	W
201737	NJ	JERSEYCITY	5562	W
201738	NJ	MORRISTOWN	4036	W
201739	NJ	RAMSEY	6391	W
201740	NJ	ORADELL	4804	V
201741	NJ	HACKENSACK	6391	W
201742	NJ	HACKENSACK	7229	L
201743	NJ	JERSEYCITY	7134	L
201744	NJ	JERSEYCITY	637C	V
201745	NJ	HACKENSACK	4036	W
201746	NJ	PARK RIDGE	4948	L
201747	NJ	HACKENSACK	4036	W
201748	NJ	JERSEYCITY	7142	V
201749	NJ	RAMSEY	4036	W
201750	NJ	CLOSTER	9206	L
201751	NJ	UNION CITY	4804	V
201752	NJ	HACKENSACK	9206	L
201753	NJ	HACKENSACK	482E	L
201754	NJ	HASBROKHTS	118F	V
201755	NJ	HACKENSACK	4036	W
201756	NJ	HACKENSACK	6801	L
201757	NJ	PASSAIC	6623	W
201758	NJ	UNION CITY	9206	L
201759	NJ	HACKENSACK	5562	W
201760	NJ	RAMSEY	9206	L
201761	NJ	JERSEYCITY	9206	L
201762	NJ	CRAGMERE	7229	L
201763	NJ	JERSEYCITY	4967	L
201764	NJ	TEANECK	8407	L
201765	NJ	RUTHERFORD	4804	V
201766	NJ	UNION CITY	9206	L
201767	NJ	CLOSTER	9206	L
201768	NJ	CLOSTER	9206	L
201769	NJ	HACKENSACK	6801	L
201770	NJ	UNION CITY	9206	L
201771	NJ	DUMONT	829J	L
201772	NJ	KEARNY	6623	W
201773	NJ	FAIR LAWN	4948	L
201774	NJ	HACKENSACK	4036	W
201775	NJ	PARK RIDGE	7229	L
201776	NJ	HACKENSACK	5562	W
201777	NJ	RUTHERFORD	4804	V
201778	NJ	CRAGMERE	4804	V
201779	NJ	BAYONNE	6623	W
201780	NJ	JERSEYCITY	5562	W
201781	NJ	WESTWOOD	7229	L
201782	NJ	PARK RIDGE	9206	L
201783	NJ	RAMSEY	3639	L
201784	NJ	CLOSTER	9206	L
201785	NJ	RAMSEY	9206	L
201786	NJ	RAMSEY	7229	L
201787	NJ	MORRISTOWN	6391	W
201788	NJ	RAMSEY	6391	W
201789	NJ	HACKENSACK	6871	L
201790	NJ	WYCKOFF	6623	W
201791	NJ	FAIR LAWN	9206	L
201792	NJ	JERSEYCITY	9206	L
201793	NJ	JERSEYCITY	7134	L
201794	NJ	FAIR LAWN	9206	L
201795	NJ	JERSEYCITY	9206	L
201796	NJ	FAIR LAWN	9206	L
201797	NJ	FAIR LAWN	9206	L
201798	NJ	JERSEYCITY	9206	L
201799	NJ	PARK RIDGE	829J	L
201800	NJ	WYCKOFF	7421	L
201801	NJ	TEANECK	9206	L
201802	NJ	PARK RIDGE	9206	L
201803	NJ	HACKENSACK	6391	W
201804	NJ	RUTHERFORD	9206	L
201805	NJ	HACKENSACK	4036	W
201806	NJ	RUTHERFORD	829J	L
201807	NJ	HACKENSACK	9206	L
201808	NJ	TEANECK	829J	L
201809	NJ	UNION CITY	829J	L
201810	NJ	NEWARK	6871	L
201811	NJ	XXXXXXXXXX	MULT	L
201812	NJ	WYCKOFF	829J	L
201813	NJ	HACKENSACK	6830	L
201814	NJ	HACKENSACK	9206	L
201815	NJ	FAIR LAWN	6391	W
201816	NJ	ENGLEWOOD	9206	L
201817	NJ	TEANECK	9206	L
201818	NJ	RAMSEY	9206	L
201819	NJ	RAMSEY	6391	W
201820	NJ	HACKENSACK	9206	L
201821	NJ	RUTHERFORD	8407	L
201822	NJ	PARK RIDGE	7229	L
201823	NJ	BAYONNE	9206	L
201824	NJ	WYCKOFF	4804	V
201825	NJ	RAMSEY	9206	L
201826	NJ	MORRISTOWN	4036	W
201827	NJ	JERSEYCITY	9206	L
201828	NJ	CRAGMERE	9206	L
201829	NJ	WESTWOOD	7229	L
201830	NJ	JERSEYCITY	9206	L
201831	NJ	CRAGMERE	9206	L
201832	NJ	HACKENSACK	6623	W
201833	NJ	TEANECK	9206	L
201834	NJ	ORADELL	3639	L
201835	NJ	FAIR LAWN	3639	L
201836	NJ	TEANECK	9206	L
201837	NJ	TEANECK	9206	L
201838	NJ	HACKENSACK	5562	W
201839	NJ	JERSEYCITY	4804	V
201840	NJ	CLIFFSIDE	9206	L
201841	NJ	SUCCASUNNA	6391	W
201842	NJ	RUTHERFORD	9206	L
201843	NJ	HACKENSACK	9206	L
201844	NJ	BAYONNE	4804	V
201845	NJ	HACKENSACK	9206	L
201846	NJ	RAMSEY	6391	W
201847	NJ	WYCKOFF	9206	L
201848	NJ	WYCKOFF	9206	L
201849	NJ	LEONIA	4804	V
201850	NJ	JERSEYCITY	9206	L
201851	NJ	HACKENSACK	4036	W
201852	NJ	NEWARK	5562	W
201853	NJ	HACKENSACK	8407	L
201854	NJ	UNION CITY	9206	L
201855	NJ	JERSEYCITY	325E	V
201856	NJ	RUTHERFORD	6623	W
201857	NJ	RIDGEWOOD	612K	L
201858	NJ	BAYONNE	9206	L
201859	NJ	MORRISTOWN	4036	W
201860	NJ	JERSEYCITY	9206	L
201861	NJ	UNION CITY	9206	L
201862	NJ	TEANECK	9206	L
201863	NJ	UNION CITY	9206	L
201864	NJ	UNION CITY	9206	L
201865	NJ	UNION CITY	9206	L
201866	NJ	UNION CITY	9206	L
201867	NJ	UNION CITY	9206	L
201868	NJ	UNION CITY	9206	L
201869	NJ	UNION CITY	9206	L
201870	NJ	HACKENSACK	118F	V
201871	NJ	ENGLEWOOD	9206	L
201872	NJ	RUTHERFORD	9206	L
201873	NJ	FAIR LAWN	6623	W
201874	NJ	SUCCASUNNA	6391	W
201875	NJ	UNION CITY	637C	V
201876	NJ	JERSEYCITY	9206	L
201877	NJ	CLIFFSIDE	5562	W
201878	NJ	JERSEYCITY	7134	L
201879	NJ	RIDGEWOOD	4948	L
201880	NJ	HACKENSACK	4948	L
201881	NJ	HACKENSACK	4036	W
201882	NJ	RIDGEWOOD	4804	V
201883	NJ	HACKENSACK	9206	L
201884	NJ	JERSEYCITY	4948	L
201885	NJ	JERSEYCITY	917G	L
201886	NJ	CLIFFSIDE	9206	L
201887	NJ	RAMSEY	6623	W
201888	NJ	HACKENSACK	4036	W
201889	NJ	KEARNY	6623	W
201890	NJ	HASBROKHTS	4804	V
201891	NJ	WYCKOFF	9206	L
201892	NJ	JERSEYCITY	5562	W
201893	NJ	RUTHERFORD	6623	W
201894	NJ	ENGLEWOOD	9206	L
